DATE,FLNA
2012-02-01,7334.6
2012-03-01,7354.8
2012-04-01,7380.0
2012-05-01,7380.3
2012-06-01,7395.1
2012-07-01,7399.3
2012-08-01,7408.1
2012-09-01,7426.6
2012-10-01,7454.3
2012-11-01,7462.8
2012-12-01,7472.4
2013-01-01,7486.3
2013-02-01,7509.1
2013-03-01,7524.9
2013-04-01,7539.5
2013-05-01,7552.3
2013-06-01,7578.5
2013-07-01,7593.0
2013-08-01,7613.6
2013-09-01,7630.1
2013-10-01,7648.1
2013-11-01,7667.1
2013-12-01,7684.6
2014-01-01,7702.1
2014-02-01,7722.0
2014-03-01,7743.0
2014-04-01,7777.9
2014-05-01,7796.0
2014-06-01,7814.8
2014-07-01,7834.2
2014-08-01,7859.2
2014-09-01,7884.1
2014-10-01,7903.7
2014-11-01,7933.8
2014-12-01,7957.4
2015-01-01,7977.8
2015-02-01,7997.7
2015-03-01,8017.7
2015-04-01,8036.9
2015-05-01,8070.9
2015-06-01,8092.6
2015-07-01,8124.6
2015-08-01,8148.4
2015-09-01,8166.8
2015-10-01,8206.5
2015-11-01,8233.8
2015-12-01,8255.7
2016-01-01,8271.9
2016-02-01,8293.7
2016-03-01,8310.6
2016-04-01,8341.8
2016-05-01,8359.0
2016-06-01,8364.4
2016-07-01,8411.4
2016-08-01,8427.5
2016-09-01,8450.7
2016-10-01,8461.0
2016-11-01,8478.0
2016-12-01,8495.1
2017-01-01,8515.6
2017-02-01,8521.8
2017-03-01,8539.3
2017-04-01,8550.5
2017-05-01,8569.1
2017-06-01,8586.2
2017-07-01,8593.1
2017-08-01,8604.8
2017-09-01,8431.2
2017-10-01,8629.6
2017-11-01,8644.8
2017-12-01,8665.0
2018-01-01,8682.6
2018-02-01,8704.0
2018-03-01,8723.6
2018-04-01,8737.6
2018-05-01,8750.6
2018-06-01,8774.0
2018-07-01,8785.6
2018-08-01,8813.9
2018-09-01,8839.6
2018-10-01,8853.1
2018-11-01,8862.9
2018-12-01,8864.2
2019-01-01,8888.7
2019-02-01,8906.1
2019-03-01,8909.0
2019-04-01,8920.7
2019-05-01,8926.8
2019-06-01,8938.7
2019-07-01,8963.4
2019-08-01,8981.2
2019-09-01,8983.6
2019-10-01,9000.8
2019-11-01,9006.7
2019-12-01,9031.4
2020-01-01,9068.8
2020-02-01,9071.6
2020-03-01,8976.3
2020-04-01,7893.5
2020-05-01,8100.9
2020-06-01,8387.8
2020-07-01,8467.2
2020-08-01,8485.2
2020-09-01,8541.6
2020-10-01,8584.2
2020-11-01,8595.4
2020-12-01,8612.2
