DATE,FLBPPRIVSA
2008-03-01,4438.9397835519
2008-04-01,5980.27570849434
2008-05-01,5529.827980509771
2008-06-01,6002.155092519671
2008-07-01,4868.258524137929
2008-08-01,5480.06787708164
2008-09-01,5744.212812475799
2008-10-01,3862.74563663267
2008-11-01,3459.63550775367
2008-12-01,3350.9674766538897
2009-01-01,2904.7764185820097
2009-02-01,3658.9816558366497
2009-03-01,2686.0230162593803
2009-04-01,2189.71214308072
2009-05-01,2488.21958012129
2009-06-01,3321.7598486858396
2009-07-01,3008.22736575344
2009-08-01,2641.34991543977
2009-09-01,3293.77899046669
2009-10-01,3121.77787352858
2009-11-01,3344.2920477324396
2009-12-01,3657.92714044998
2010-01-01,3823.80415476553
2010-02-01,3529.82931170592
2010-03-01,3584.05342116174
2010-04-01,3622.4367312715794
2010-05-01,3077.5379997434898
2010-06-01,3064.18132775206
2010-07-01,2854.4715683678005
2010-08-01,3031.6631905049603
2010-09-01,2997.9677381693605
2010-10-01,2866.2904521871196
2010-11-01,2975.94338358511
2010-12-01,3226.79472091685
2011-01-01,2975.0741433378803
2011-02-01,3052.0533267992305
2011-03-01,3540.8937890070097
2011-04-01,3124.6478065509996
2011-05-01,3419.47666296024
2011-06-01,3636.36579036053
2011-07-01,4069.90998179178
2011-08-01,3990.7750207193394
2011-09-01,3861.3593729631502
2011-10-01,3644.9736437917604
2011-11-01,4209.42306177171
2011-12-01,4297.65791145968
2012-01-01,4550.32763776239
2012-02-01,3702.3050632271397
2012-03-01,4683.99119972488
2012-04-01,4447.16670270575
2012-05-01,5288.20830432178
2012-06-01,4934.22019443641
2012-07-01,5020.85038341667
2012-08-01,5975.33998062353
2012-09-01,8907.283541656241
2012-10-01,5517.32952550689
2012-11-01,6050.40499836199
2012-12-01,5322.89774521019
2013-01-01,6156.120627145179
2013-02-01,6815.45544709501
2013-03-01,7034.317949967479
2013-04-01,9265.37115874665
2013-05-01,9410.87532662413
2013-06-01,5950.916047586071
2013-07-01,7101.9149305540905
2013-08-01,6539.257274675871
2013-09-01,7040.002561730791
2013-10-01,7663.31784629266
2013-11-01,7702.931176245899
2013-12-01,6167.8912575513095
2014-01-01,7405.2787892701
2014-02-01,7577.41078397341
2014-03-01,5684.7308685301905
2014-04-01,7027.71427285188
2014-05-01,6679.99045888497
2014-06-01,7000.64386766598
2014-07-01,7712.611093338391
2014-08-01,6746.17725365893
2014-09-01,6717.76886874506
2014-10-01,8014.02998031851
2014-11-01,6124.16109976763
2014-12-01,8123.6888800405595
2015-01-01,7577.80465197913
2015-02-01,8832.390268745508
2015-03-01,8315.42944067703
2015-04-01,7850.767738636179
2015-05-01,8666.04207508614
2015-06-01,9003.27173208869
2015-07-01,8278.41123201724
2015-08-01,7205.93793211553
2015-09-01,11345.3834435701
2015-10-01,8611.20780760448
2015-11-01,9589.66533297394
2015-12-01,11117.522222299
2016-01-01,7755.50902739129
2016-02-01,9401.0434896572
2016-03-01,9357.696695070319
2016-04-01,8871.04378725916
2016-05-01,8632.974624208578
2016-06-01,8680.245320486942
2016-07-01,8902.95611684994
2016-08-01,10271.4354507303
2016-09-01,10803.2995205442
2016-10-01,9563.49877004767
2016-11-01,9960.751229640971
2016-12-01,10280.4343324661
2017-01-01,9714.86601148833
2017-02-01,8595.89688718891
2017-03-01,9681.636747597959
2017-04-01,10227.0662981602
2017-05-01,10806.2035441763
2017-06-01,11146.2103407451
2017-07-01,9839.012292013442
2017-08-01,10119.188526018399
2017-09-01,8454.95795867094
2017-10-01,10047.3746327786
2017-11-01,9435.095233028891
2017-12-01,9106.418253835122
2018-01-01,10975.10582252
2018-02-01,10864.0443187741
2018-03-01,11340.762475496202
2018-04-01,12848.8965059119
2018-05-01,11455.6597382496
2018-06-01,11831.5767356635
2018-07-01,12885.6242575369
2018-08-01,11413.9760675553
2018-09-01,10951.425723960601
2018-10-01,11275.8458624169
2018-11-01,15024.397959631398
2018-12-01,12182.3297109023
2019-01-01,10742.253784865401
2019-02-01,11962.4013463832
2019-03-01,11590.1934699305
2019-04-01,13569.5458646194
2019-05-01,12805.6812604856
2019-06-01,10239.151429855201
2019-07-01,12916.358044218001
2019-08-01,13787.953733517801
2019-09-01,15545.6718952381
2019-10-01,14214.094963276699
2019-11-01,12810.4221325825
2019-12-01,12768.200349673301
2020-01-01,13848.151773900701
2020-02-01,13084.916064366102
2020-03-01,13520.0505936139
2020-04-01,11542.1325054998
2020-05-01,12200.0529779997
2020-06-01,12005.6075686131
2020-07-01,12825.7069318557
2020-08-01,13938.5758599383
2020-09-01,14688.2311145897
2020-10-01,14538.414974225801
2020-11-01,14278.807835219699
2020-12-01,15218.6286843689
